year,text,label,INFRA_GAP,STAFF_GAP,SERVICE_GAP,ACCESS_GAP,COST_GAP,QUALITY_GAP
2009,"It provided training and reagents not only to
scientists/technologist deputed from 14 Institutes/Centres of ICMR but to others as well.",STAFF_GAP,0,1,0,0,0,0
2009,"Influenza A (H1N1) 2009, pandemic flew into India and tested the capacity and capabilities of
several institutes of ICMR, but more so of the NIV.",STAFF_GAP,0,1,0,0,0,0
2009,"The Plan allocation and expenditure has been as follows:

3
ANNUAL REPORT 2009-10
DEPARTMENT OF HEALTH RESEARCH
Scheme Wise Break Up of Outlay & Expenditure for the Department of Health Research
SN Scheme
11th
2008-09
2009-10
Plan
Expenditure
Expenditure*
Outlay
Plan
Non Plan
Plan
Non Plan
1
Promotion & Coordination of basic, applied &
clinical research
 -
 -
 -
 -
 -
2
Promotion of Research governance issues
including ethical issues
 -
-
 -
 -
 -
3
Inter- sectoral coordination & promotion of
PPP in medical, bio-medical & health research
related areas
 -
-
-
 -
 -
4
Advanced training in research areas
 -
0.09
-
 -
 -
5
International cooperation including international
conferences
 -
0.29
 -
0.25
 -
6
Technical support for dealing with epidemics &
natural calamities
 -
 -
-
 -
 -
7
Investigation of outbreaks due to new & exotic
agents & development of tools for prevention
 -
 -
-
 -
-
8
Matters relating to scientific societies and
associations, charitable and religious
endowments in medicine & health research areas
 -
 -
 -
 -
 -
9
Secretariat
 -
 -
-
-
0.07
10
Direction and Administration
 -
 -
 -
 -
 -
11
Coordination with Govern-ment/organisations/
institutions
 -
-
-
0.10
 -
12
ICMR
4496.08
390.18
174.00
399.50
184.00
ICMR & IRR
200.00
-
-
-
-
TOTAL
 4696.08
390.60
174.00
399.85
184.07
*",COST_GAP,0,0,0,0,1,0
2009,"DHR played important role in strengthening
infrastructure & capabilities for development, application of diagnostics as well as vaccines during
recent H1Ni1 pandemic.",INFRA_GAP,1,0,0,0,0,0
2009,"Modules for training of manpower for handling medical aspects
of natural and man made disasters are being prepared.",STAFF_GAP,0,1,0,0,0,0
2009,"Apart from the above, the Department is also establishing mechanisms for coordination and
networking among different institutions and partners in health research like academia, industry,
government departments, authorities like NDMA and State Governments, scientific societies etc.
including mechanisms for promotion of research, technology management, start up support, joint
funding mechanisms etc. in order to coordinate and promote health research initiatives.",SERVICE_GAP,0,0,1,0,0,0
2009,"The major thrust areas that have been identified and where work has been initiated include the
following:
To promote health research governance through:
•
The enactment of an Ethics Bill and the establishment of the National Biomedical Research
Authority
•
Creation of National Health Research Forum
•
Establishing mechanisms for mapping and accreditation of health research institutions,
To promote the Development of basic, applied and clinical research through the finalisation of
three major initiatives for:
•
Promotion of medical research in medical colleges through establishment of advanced
centres, special training programmes, research fellowships, grants etc.
•
The establishment of model rural health research units which should serve as model units
to transfer the technology to the state system by showing its applicability and feasibility in
the rural settings; and
•
The  Establishment of a Network of Virus Diagnostic Laboratories in the Country, which
would enable a quick response for diagnosis of viral diseases by develop expertise for
diagnosis of specific viruses circulating in their geographic area
•
Programme for gender and health
•
Advanced training in Medicine & Health",INFRA_GAP,1,0,0,0,0,0
2009,"It is anticipated that most of these will be
launched in the next financial year, in case necessary outlays are made available.",COST_GAP,0,0,0,0,1,0
2009,"These new initiatives are in various stages of finalisation, and the process has commenced for
securing mandatory clearances to commence the scheme.",SERVICE_GAP,0,0,1,0,0,0
2009,"DEPARTMENT OF HEALTH RESEARCH
INTRODUCTION
INTRODUCTION

2
DEPARTMENT OF HEALTH RESEARCH
ANNUAL REPORT 2009-10
In view of the above, and in order to finalise the road map for the Department, new schemes have
been formulated over the last year so as to fulfil the mandate and work entrusted to the Department.",SERVICE_GAP,0,0,1,0,0,0
